 ###############
  -2.69880376380900       0.000000000000000E+000   2.69880376380900
  0.000000000000000E+000   2.69880376380900        2.69880376380900
  -2.69880376380900        2.69880376380900       0.000000000000000E+000
           8
          93
    4    6    2    2    2    1    2    2    1    1    2    6    2    2    2
    6    2    2    4    1    1    1    4    1    1    1    1    2    1    1
    1    2    2    1    1    2    4    2    1    2    1    1    1    1    2
    1    1    1    2    1    1    1    1    2    1    2    4    2    1    1
    2    2    1    1    1    2    1    1    1    1    4    1    1    1    4
    2    2    6    2    2    2    6    2    1    1    2    2    1    2    2
    2    6    4

   -3    1    1
    1    1    0.82034280E-01 -0.64685154E-09
    2    1   -0.17078953E-01 -0.93935411E-07
    3    1   -0.17078958E-01 -0.43472433E-07
    4    1   -0.17078953E-01 -0.12997039E-07
    5    1   -0.17793304E-01 -0.18595468E-06
    6    1    0.17793303E-01  0.20678879E-06
    7    1    0.17793301E-01  0.13770122E-06
    8    1    0.72450137E-01  0.10395374E-05
    1    2   -0.17078954E-01  0.96583378E-07
    2    2    0.82034280E-01 -0.20575541E-09
    3    2   -0.17078955E-01  0.45612341E-07
    4    2   -0.17078953E-01  0.76828792E-07
    5    2    0.29015932E-01  0.14619304E-06
    6    2    0.22589709E-01  0.13935346E-06
    7    2   -0.29015933E-01 -0.65459324E-07
    8    2   -0.17793304E-01 -0.15608019E-06
    1    3   -0.17078957E-01  0.45959648E-07
    2    3   -0.17078955E-01 -0.45893671E-07
    3    3    0.82034283E-01  0.46564931E-09
    4    3   -0.17078957E-01  0.31894594E-07
    5    3    0.29015935E-01  0.23008048E-06
    6    3   -0.29015934E-01 -0.26158793E-06
    7    3    0.22589714E-01  0.11801437E-06
    8    3   -0.17793302E-01 -0.20955907E-06
    1    4   -0.17078952E-01  0.14072410E-07
    2    4   -0.17078953E-01 -0.77828103E-07
    3    4   -0.17078956E-01 -0.33704100E-07
    4    4    0.82034280E-01 -0.42535485E-09
    5    4   -0.22589711E-01 -0.22118418E-06
    6    4   -0.29015932E-01 -0.31060496E-06
    7    4   -0.29015934E-01 -0.20803599E-06
    8    4   -0.17793302E-01 -0.24035721E-06
    1    5   -0.11181374E-01  0.11879550E-06
    2    5    0.17962083E-01 -0.91498933E-07
    3    5    0.17962086E-01 -0.14208870E-06
    4    5    0.26093660E-01 -0.25220348E-06
    5    5    0.82034278E-01  0.92438196E-10
    6    5    0.17078951E-01  0.18029210E-07
    7    5    0.17078958E-01 -0.43109959E-07
    8    5   -0.17078953E-01 -0.64773890E-07
    1    6    0.11181375E-01 -0.13172025E-06
    2    6   -0.26093663E-01  0.15701379E-06
    3    6   -0.17962084E-01  0.16398071E-06
    4    6   -0.17962084E-01  0.19353556E-06
    5    6    0.17078951E-01 -0.17084200E-07
